date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2020-06-01,4,5,22,0,18,21,10,50,91,66,68,62,14,36,26,87,37,59,8,39,7,58,32
2020-07-01,5,6,16,0,5,18,12,61,92,60,67,46,18,19,25,98,59,58,10,39,6,55,31
2020-08-01,1,1,7,0,10,17,12,77,97,59,68,62,18,10,44,97,28,62,10,34,10,56,32
2020-09-01,6,9,23,15,12,14,10,79,90,59,61,62,23,19,33,96,44,61,8,30,11,63,29
2020-10-01,6,4,31,0,20,16,10,60,84,63,57,68,17,24,35,91,43,56,24,30,13,58,28
2020-11-01,5,7,38,5,16,12,10,65,80,59,50,52,18,21,35,89,54,56,10,24,15,51,28
2020-12-01,2,5,35,5,16,14,12,58,80,59,50,36,10,20,24,79,37,56,9,22,8,44,27
2021-01-01,1,6,33,10,35,15,10,67,80,65,59,46,11,22,37,80,32,46,15,34,10,55,34
2021-02-01,4,2,19,0,35,14,8,58,81,72,63,46,16,20,35,100,40,48,19,24,13,54,27
2021-03-01,6,5,13,0,18,11,6,58,82,71,74,65,22,19,23,85,45,51,50,21,11,64,23
2021-04-01,0,5,17,5,11,10,6,57,75,70,61,51,21,12,50,83,41,44,41,17,9,53,21
2021-05-01,0,3,17,5,22,10,9,44,71,57,55,38,16,17,38,75,31,38,28,17,13,49,20
2021-06-01,3,2,7,0,6,9,6,43,71,59,49,45,15,36,27,77,12,43,24,16,11,49,19
2021-07-01,3,5,7,5,12,10,6,49,69,49,46,49,27,24,31,76,10,47,17,14,8,41,21
2021-08-01,3,2,11,0,4,11,8,59,77,47,40,53,21,13,28,81,31,52,11,15,7,37,22
2021-09-01,3,3,19,6,16,11,10,69,78,51,38,50,37,18,45,82,34,51,16,17,11,46,15
2021-10-01,0,3,33,6,21,10,10,44,71,53,42,48,28,25,44,80,25,44,19,17,14,51,21
2021-11-01,1,5,26,5,19,9,5,39,71,58,39,45,38,24,43,82,43,44,19,17,15,56,22
2021-12-01,4,9,7,11,21,10,7,47,68,48,30,25,31,17,21,69,37,36,18,16,15,40,17
2022-01-01,0,2,21,5,30,11,11,47,73,71,51,49,15,21,12,78,22,49,24,16,11,55,21
2022-02-01,3,8,8,12,15,7,4,45,77,68,48,41,24,20,74,83,20,46,20,16,13,54,22
2022-03-01,2,5,49,10,18,9,6,54,79,82,59,56,33,24,21,83,39,49,20,17,16,57,21
2022-04-01,1,4,63,5,18,7,3,47,80,91,62,57,56,31,35,82,39,47,19,17,9,56,18
